Kanji,Meaning,Radicals
京,"capital city","亠 (lid) + 口 (mouth) + 小 (small)"
段,"section","殳 (weapon)"
依,"rely on","亻 (man) + 衣 (clothes)"
批,"comment","扌 (hand) + 比 (compare)"
群,"(same as U+7FA3 羣) group","彐 (pigs head) + 丿 (slash) + 口 (mouth) + 羊 (sheep)"
项,"neck","工 (work) + 页 (leaf)"
故,"ancient","十 (ten) + 口 (mouth) + 攵 (rap)"
按,"put hand on","扌 (hand) + 宀 (roof) + 女 (woman)"
河,"river","氵 (water) + 口 (mouth) + 一 (one) + 亅 (hook)"
米,"hulled or husked uncooked rice","米 (rice)"
围,"surround","囗 (enclosure) + 韦 (tanned leather)"
江,"large river","氵 (water) + 工 (work)"
织,"weave","纟 (silk) + 口 (mouth) + 八 (eight)"
害,"injure","宀 (roof) + 彡 (bristle) + 丨 (line) + 口 (mouth)"
斗,"Chinese peck","斗 (dipper)"
双,"set of two","又 (again)"
境,"boundary","土 (earth) + 立 (stand) + 見 (see)"
客,"guest","宀 (roof) + 夂 (go) + 口 (mouth)"
纪,"record","纟 (silk) + 己 (oneself)"
采,"collect","爫 (claw) + 木 (tree)"
举,"raise","兴 (thrive) + 丨 (line) + 二 (two)"
杀,"kill","乂 + 朩"
攻,"attack","工 (work) + 攵 (rap)"
父,"father","父 (father)"
苏,"revive","艹 (grass) + 力 (power) + 丷 (eight)"
密,"dense","宀 (roof) + 心 (heart) + 丿 (slash) + 山 (mountain)"
低,"low","亻 (man) + 氏 (clan) + 丶 (dot)"
朝,"dynasty","卓 (profound) + 月 (moon)"
友,"friend","丿 (slash) + 一 (one) + 又 (again)"
诉,"accuse","讠 (speech) + 斤 (axe) + 丶 (dot)"
止,"stop","止 (stop)"
细,"fine","纟 (silk) + 田 (field)"
愿,"sincere","厂 (cliff) + 白 (white) + 小 (small) + 心 (heart)"
千,"thousand","丿 (slash) + 十 (ten)"
值,"price","亻 (man) + 十 (ten) + 目 (eye) + 乚 (second)"
仍,"yet","亻 (man) + 乃 (then)"
男,"male","田 (field) + 力 (power)"
钱,"money","钅 + 一 (one) + 戈 (halberd)"
破,"break","石 (stone) + 皮 (skin)"
网,"net","网 (net)"
热,"hot","扌 (hand) + 九 (nine) + 丶 (dot) + 灬 (fire)"
助,"help","且 (moreover) + 力 (power)"
倒,"fall over","亻 (man) + 至 (arrive) + 刂 (knife)"
育,"produce","亠 (lid) + 厶 (private) + 月 (moon)"
属,"class","尸 (corpse) + 丿 (slash) + 虫 (insect)"
坐,"sit","人 (man) + 土 (earth)"
帝,"supreme ruler","亠 (lid) + 八 (eight) + 巾 (turban)"
限,"boundary","阝 (mound) + 艮 (stopping)"
船,"ship","舟 (boat) + 八 (eight) + 口 (mouth)"
脸,"face","月 (moon) + 人 (man) + 一 (one) + 小 (small)"
职,"duty","耳 (ear) + 口 (mouth) + 八 (eight)"
速,"quick","辶 (walk) + 木 (tree) + 口 (mouth)"
刻,"carve","亠 (lid) + 人 (man) + 刂 (knife)"
乐,"happy","乐 (happy)"
否,"not","不 (no) + 口 (mouth)"
刚,"hard","冂 (down box) + 乂 + 刂 (knife)"
威,"pomp","丿 (slash) + 戈 (halberd) + 一 (one) + 女 (woman)"
毛,"hair","毛 (fur)"
状,"form","丬 (half tree trunk) + 犬 (dog)"
率,"to lead","冫 (ice) + 玄 (profound) + 十 (ten)"
甚,"great extent","甘 (sweet) + 匚 (open box) + 儿 (legs)"
独,"alone","犭 (dog) + 虫 (insect)"
球,"ball","王 (king) + 求 (seek)"
般,"sort","舟 (boat) + 殳 (weapon)"
普,"universal","丷 (eight) + 亚 (Asia) + 日 (sun)"
怕,"to fear","忄 (heart) + 白 (white)"
弹,"pellet","弓 (bow) + 八 (eight) + 田 (field) + 十 (ten)"
校,"school","木 (tree) + 亠 (lid) + 父 (father)"
苦,"bitter","艹 (grass) + 十 (ten) + 口 (mouth)"
创,"establish","人 (man) + 㔾 + 刂 (knife)"
假,"falsehood","亻 (man) + 叚"
久,"long time (ago)","久 (long time (ago))"
错,"error","钅 + 日 (sun)"
承,"inherit","承 (inherit)"
印,"print","厂 (cliff) + 二 (two) + 卩 (seal)"
晚,"night","日 (sun) + 免 (spare)"
兰,"orchid","丷 (eight) + 二 (two) + 一 (one)"
试,"test","讠 (speech) + 弋 (shoot) + 工 (work)"
股,"thighs","月 (moon) + 殳 (weapon)"
拿,"take","人 (man) + 一 (one) + 口 (mouth) + 手 (hand)"
脑,"brain","月 (moon) + 亠 (lid) + 凵 (open box) + 乂"
预,"prepare","龴 + 一 (one) + 亅 (hook) + 页 (leaf)"
谁,"who? whom? whose? anyone?","讠 (speech) + 隹 (short tailed bird)"
益,"profit","皿 (dish)"
阳,"male principle","阝 (mound) + 日 (sun)"
若,"if","艹 (grass) + 丿 (slash) + 一 (one) + 口 (mouth)"
哪,"which? where? how?","口 (mouth) + 冂 (down box) + 二 (two) + 阝 (mound)"
微,"small","彳 (step) + 山 (mountain) + 几 (table) + 攵 (rap)"
尼,"Buddhist nun","尸 (corpse) + 匕 (spoon)"
继,"continue","纟 (silk) + 乚 (second) + 米 (rice)"
送,"see off","辶 (walk) + 丷 (eight) + 一 (one) + 大 (big)"
急,"quick","彐 (pigs head) + 心 (heart)"
血,"blood","血 (blood)"
惊,"frighten","忄 (heart) + 亠 (lid) + 口 (mouth) + 小 (small)"
伤,"wound","亻 (man) + 人 (man) + 力 (power)"
素,"white (silk)","糸 (silk)"
药,"leaf of Dahurian angelica plant","艹 (grass) + 纟 (silk) + 勹 (wrap) + 丶 (dot)"
适,"go","辶 (walk) + 舌 (tongue)"
波,"waves","氵 (water) + 皮 (skin)"
夜,"night","亠 (lid) + 亻 (man) + 夂 (go) + 丶 (dot)"
省,"province","小 (small) + 丿 (slash) + 目 (eye)"
初,"beginning","衤 (clothes) + 刀 (knife)"
喜,"like","十 (ten) + 豆 (bean) + 口 (mouth)"
卫,"guard","卫 (guard)"
源,"spring","氵 (water) + 厂 (cliff) + 白 (white) + 小 (small)"
食,"eat","食 (eat)"
险,"narrow pass","阝 (mound) + 人 (man) + 一 (one) + 小 (small)"
待,"treat","彳 (step) + 土 (earth) + 寸 (inch)"
述,"narrate","辶 (walk) + 木 (tree) + 丶 (dot)"
陆,"land","阝 (mound) + 凵 (open box) + 扌 (hand)"
习,"practice","习 (practice)"
置,"place","罒 (net) + 十 (ten) + 目 (eye) + 乚 (second)"
居,"live","尸 (corpse) + 十 (ten) + 口 (mouth)"
劳,"labor","艹 (grass) + 力 (power)"
财,"wealth","贝 (shell) + 才 (talent)"
环,"jade ring or bracelet","王 (king) + 不 (no)"
排,"row","扌 (hand) + 非 (wrong)"
福,"happiness","礻 (showing) + 一 (one) + 口 (mouth) + 田 (field)"
纳,"admit","纟 (silk) + 冂 (down box) + 人 (man)"
欢,"happy","又 (again) + 欠 (lack)"
雷,"thunder","雨 (rain) + 田 (field)"
警,"guard","艹 (grass) + 勹 (wrap) + 口 (mouth) + 攵 (rap) + 言 (speech)"
获,"obtain","艹 (grass) + 犭 (dog) + 犬 (dog)"
模,"model","木 (tree) + 艹 (grass) + 日 (sun) + 大 (big)"
充,"fill","亠 (lid) + 厶 (private) + 儿 (legs)"
负,"load","贝 (shell)"
云,"say","二 (two) + 厶 (private)"
停,"stop","亻 (man) + 亠 (lid) + 口 (mouth) + 一 (one) + 亅 (hook)"
木,"tree","木 (tree)"
游,"to swim","氵 (water) + 方 (square) + 人 (man) + 子 (child)"
龙,"dragon","龙 (dragon)"
树,"tree","木 (tree) + 又 (again) + 寸 (inch)"
疑,"doubt","匕 (spoon) + 矢 (arrow) + 又 (again) + 疋 (bolt of cloth)"
层,"storey","尸 (corpse) + 二 (two) + 厶 (private)"
冷,"cold","冫 (ice) + 人 (man) + 一 (one) + 龴"
洲,"continent","氵 (water) + 州 (administrative division)"
冲,"soar","冫 (ice) + 口 (mouth) + 丨 (line)"
射,"shoot","身 (body) + 寸 (inch)"
略,"approximately","田 (field) + 夂 (go) + 口 (mouth)"
范,"surname","艹 (grass) + 氵 (water) + 㔾"
竟,"finally","立 (stand) + 見 (see)"
句,"sentence","勹 (wrap) + 口 (mouth)"
室,"room","宀 (roof) + 至 (arrive)"
异,"different","己 (oneself) + 廾 (two hands)"
激,"arouse","氵 (water) + 白 (white) + 方 (square) + 攵 (rap)"
汉,"Chinese people","氵 (water) + 又 (again)"
村,"village","木 (tree) + 寸 (inch)"
哈,"sound of laughter","口 (mouth) + 人 (man) + 一 (one)"
策,"scheme","竹 (bamboo) + 木 (tree) + 冂 (down box)"
演,"perform","氵 (water) + 宀 (roof) + 一 (one) + 曰 (say) + 丨 (line) + 八 (eight)"
简,"simple","竹 (bamboo) + 门 (gate) + 日 (sun)"
卡,"card","上 (top) + 卜 (divination)"
罪,"crime","罒 (net) + 非 (wrong)"
判,"judge","半 (half) + 刂 (knife)"
担,"carry","扌 (hand) + 日 (sun) + 一 (one)"
州,"administrative division","州 (administrative division)"
静,"quiet","青 (blue) + 𠂊 + 肀"
退,"step back","辶 (walk) + 艮 (stopping)"
既,"already","艮 (stopping) + 旡"
衣,"clothes","衣 (clothes)"
您,"honorific for you","亻 (man) + 小 (small) + 心 (heart)"
宗,"lineage","宀 (roof) + 示 (showing)"
积,"accumulate","禾 (grain) + 口 (mouth) + 八 (eight)"
余,"I","人 (man) + 一 (one) + 朩"
痛,"pain","疒 (sickness) + 龴 + 用 (use)"
检,"check","木 (tree) + 人 (man) + 一 (one) + 小 (small)"
差,"to differ","羊 (sheep) + 工 (work)"
富,"abundant","宀 (roof) + 一 (one) + 口 (mouth) + 田 (field)"
灵,"spirit","彐 (pigs head) + 火 (fire)"
协,"be united","十 (ten) + 力 (power) + 丷 (eight)"
角,"horn","角 (horn)"
占,"divine","卜 (divination) + 口 (mouth)"
配,"match","酉 (alcohol) + 己 (oneself)"
征,"invade","彳 (step) + 一 (one) + 止 (stop)"
修,"study","亻 (man) + 丨 (line) + 攵 (rap) + 彡 (bristle)"
皮,"skin","皮 (skin)"
挥,"direct","扌 (hand) + 冖 (over) + 车 (cart)"
胜,"victory","月 (moon) + 生 (life)"
降,"descend","阝 (mound) + 夂 (go) + 丨 (line) + 二 (two)"
阶,"stairs","阝 (mound) + 人 (man) + 儿 (legs)"
审,"examine","宀 (roof) + 曰 (say) + 丨 (line)"
沉,"sink","氵 (water) + 冖 (over) + 几 (table)"
坚,"hard","丨 (line) + 又 (again) + 土 (earth)"
善,"good","羊 (sheep) + 业 (profession) + 口 (mouth)"
妈,"mother","女 (woman) + 马 (horse)"
刘,"surname","文 (script) + 刂 (knife)"
读,"read","讠 (speech) + 十 (ten) + 乛 (second) + 大 (big) + 冫 (ice)"
啊,"exclamatory particle","口 (mouth) + 阝 (mound) + 一 (one) + 亅 (hook)"
超,"jump over","走 (run) + 刀 (knife) + 口 (mouth)"
免,"spare","免 (spare)"
压,"press","厂 (cliff) + 土 (earth) + 丶 (dot)"
银,"silver","钅 + 艮 (stopping)"
买,"buy","乛 (second) + 大 (big) + 冫 (ice)"
皇,"royal","白 (white) + 王 (king)"
养,"raise","羊 (sheep) + 人 (man) + 儿 (legs)"
伊,"third person pronoun","亻 (man) + 彐 (pigs head) + 丿 (slash)"
怀,"bosom","忄 (heart) + 不 (no)"
执,"hold in hand","扌 (hand) + 九 (nine) + 丶 (dot)"
副,"assist","一 (one) + 口 (mouth) + 田 (field) + 刂 (knife)"
乱,"confusion","舌 (tongue) + 乚 (second)"
抗,"resist","扌 (hand) + 亠 (lid) + 几 (table)"
犯,"commit crime","犭 (dog) + 㔾"
追,"pursue","辶 (walk) + 丿 (slash) + 㠯"
帮,"help","丰 (abundant) + 阝 (mound) + 巾 (turban)"
宣,"declare","宀 (roof) + 二 (two) + 日 (sun)"
佛,"Buddha","亻 (man) + 弓 (bow) + 刂 (knife)"
岁,"year","山 (mountain) + 夕 (evening)"
航,"sail","舟 (boat) + 亠 (lid) + 几 (table)"
优,"superior","亻 (man) + 尤 (especially)"
怪,"strange","忄 (heart) + 又 (again) + 土 (earth)"
香,"fragrant","香 (fragrant)"
著,"manifest","艹 (grass) + 土 (earth) + 丿 (slash) + 日 (sun)"
田,"field","田 (field)"
铁,"iron","钅 + 丿 (slash) + 一 (one) + 大 (big)"
控,"accuse","扌 (hand) + 穴 (cave) + 工 (work)"
税,"taxes","禾 (grain) + 八 (eight) + 口 (mouth) + 儿 (legs)"
左,"left","丿 (slash) + 一 (one) + 工 (work)"
右,"right","丿 (slash) + 一 (one) + 口 (mouth)"
份,"portion","亻 (man) + 八 (eight) + 刀 (knife)"
穿,"penetrate","穴 (cave) + 牙 (fang)"
艺,"art","艹 (grass) + 乙 (second)"
背,"back","爿 (half tree trunk) + 匕 (spoon) + 月 (moon)"
阵,"column","阝 (mound) + 车 (cart)"
草,"grass","艹 (grass) + 日 (sun) + 十 (ten)"
脚,"leg","月 (moon) + 土 (earth) + 厶 (private) + 卩 (seal)"
概,"generally","木 (tree) + 艮 (stopping) + 旡"
恶,"evil","亚 (Asia) + 心 (heart)"
块,"piece","土 (earth) + 大 (big) + 乛 (second)"
顿,"pause","屯 (village) + 页 (leaf)"
敢,"to dare","乛 (second) + 耳 (ear) + 攵 (rap)"
守,"defend","宀 (roof) + 寸 (inch)"
酒,"wine","氵 (water) + 酉 (alcohol)"
岛,"island","乌 (crow) + 山 (mountain)"
托,"to hold up with palm","扌 (hand) + 丿 (slash) + 七 (seven)"
央,"center","冂 (down box) + 大 (big)"
户,"door","丶 (dot) + 尸 (corpse)"
烈,"fiery","歹 (death) + 刂 (knife) + 灬 (fire)"
洋,"ocean","氵 (water) + 羊 (sheep)"
哥,"elder brother","可 (may)"
索,"large rope","十 (ten) + 糸 (silk)"
胡,"recklessly","十 (ten) + 口 (mouth) + 月 (moon)"
款,"item","土 (earth) + 示 (showing) + 欠 (lack)"
靠,"lean on","牛 (cow) + 口 (mouth) + 非 (wrong)"
评,"appraise","讠 (speech) + 干 (dry) + 丷 (eight)"
版,"printing blocks","片 (slice) + 又 (again)"
宝,"treasure","宀 (roof) + 玉 (king)"
座,"seat","广 (dotted cliff) + 人 (man) + 土 (earth)"
释,"interprete","釆 (distinguish) + 又 (again) + 丨 (line) + 二 (two)"
景,"scenery","日 (sun) + 亠 (lid) + 口 (mouth) + 小 (small)"
顾,"look back","厂 (cliff) + 㔾 + 页 (leaf)"
弟,"young brother","丷 (eight) + 弓 (bow) + 丨 (line) + 丿 (slash)"
登,"rise","癶 (dotted tent) + 豆 (bean)"
货,"goods","亻 (man) + 匕 (spoon) + 贝 (shell)"
互,"mutually","一 (one) + 彑 (pigs head)"
付,"give","亻 (man) + 寸 (inch)"
伯,"older brother","亻 (man) + 白 (white)"
慢,"slow(ly)","忄 (heart) + 曰 (say) + 罒 (net) + 又 (again)"
欧,"translit.: Europe","匚 (open box) + 乂 + 欠 (lack)"
换,"change","扌 (hand) + 冂 (down box) + 大 (big)"
闻,"hear","门 (gate) + 耳 (ear)"
危,"dangerous","厂 (cliff) + 㔾"
忙,"busy","忄 (heart) + 亠 (lid) + 乚 (second)"
核,"seed","木 (tree) + 亠 (lid) + 人 (man)"
暗,"dark","日 (sun) + 音 (sound)"
姐,"elder sister","女 (woman) + 且 (moreover)"
介,"forerunner","人 (man) + 儿 (legs)"
坏,"rotten","土 (earth) + 不 (no)"
讨,"to discuss","讠 (speech) + 寸 (inch)"
丽,"beautiful","一 (one) + 卩 (seal) + 丶 (dot)"
良,"good","丶 (dot) + 艮 (stopping)"
序,"series","广 (dotted cliff) + 龴 + 一 (one) + 亅 (hook)"
升,"arise","升 (arise)"
监,"supervise","皿 (dish)"
临,"draw near","丿 (slash) + 一 (one) + 丶 (dot)"
亮,"bright","亠 (lid) + 口 (mouth) + 儿 (legs)"
露,"dew","雨 (rain) + 足 (foot) + 夂 (go) + 口 (mouth)"
永,"long","水 (water) + 丶 (dot)"
呼,"breathe sigh","口 (mouth) + 乎 (interrogative or exclamatory final particle)"
味,"taste","口 (mouth) + 木 (tree) + 一 (one)"
野,"open country","里 (village) + 龴 + 一 (one) + 亅 (hook)"
架,"rack","力 (power) + 口 (mouth) + 木 (tree)"
域,"district","土 (earth) + 戈 (halberd) + 一 (one) + 口 (mouth)"
沙,"sand","氵 (water) + 小 (small) + 丿 (slash)"
掉,"turn","扌 (hand) + 卜 (divination) + 日 (sun) + 十 (ten)"
括,"include","扌 (hand) + 舌 (tongue)"
舰,"warship","舟 (boat) + 见 (see)"
鱼,"fish","鱼 (fish)"
杂,"mixed","九 (nine) + 朩"
误,"err","讠 (speech) + 口 (mouth) + 一 (one) + 大 (big)"
湾,"bay","氵 (water) + 亦 (also) + 弓 (bow)"
吉,"lucky","士 (scholar) + 口 (mouth)"
减,"decrease","冫 (ice) + 丿 (slash) + 戈 (halberd) + 一 (one) + 口 (mouth)"
编,"knit","纟 (silk) + 一 (one) + 尸 (corpse)"
楚,"name of feudal state","木 (tree) + 疋 (bolt of cloth)"
肯,"willing","止 (stop) + 月 (moon)"
测,"measure","氵 (water) + 贝 (shell) + 刂 (knife)"
败,"be defeated","贝 (shell) + 攵 (rap)"
屋,"house","尸 (corpse) + 至 (arrive)"
跑,"run","足 (foot) + 勹 (wrap) + 巳"
梦,"dream","木 (tree) + 夕 (evening)"
散,"scatter","攵 (rap)"
温,"lukewarm","氵 (water) + 日 (sun) + 皿 (dish)"
困,"to surround","囗 (enclosure) + 木 (tree)"
剑,"sword","人 (man) + 一 (one) + 小 (small) + 刂 (knife)"
渐,"gradually","氵 (water) + 车 (cart) + 斤 (axe)"
封,"letter","土 (earth) + 寸 (inch)"
救,"save","求 (seek) + 攵 (rap)"
贵,"expensive","口 (mouth) + 丨 (line) + 一 (one) + 贝 (shell)"
枪,"spear","木 (tree) + 人 (man) + 㔾"
缺,"be short of","缶 (jar) + 大 (big) + 乛 (second)"
楼,"building of two or more stories","木 (tree) + 米 (rice) + 女 (woman)"
县,"county","且 (moreover) + 厶 (private)"
尚,"still","小 (small) + 冂 (down box) + 囗 (enclosure)"
毫,"fine hair","亠 (lid) + 口 (mouth) + 毛 (fur)"
移,"change place","禾 (grain) + 夕 (evening)"
娘,"mother","女 (woman) + 丶 (dot) + 艮 (stopping)"
朋,"friend","月 (moon)"
画,"a painting","一 (one) + 曰 (say) + 丨 (line) + 凵 (open box)"
班,"class","王 (king) + 刂 (knife)"
智,"wisdom","矢 (arrow) + 口 (mouth) + 日 (sun)"
亦,"also","亦 (also)"
耳,"ear","耳 (ear)"
恩,"kindness","囗 (enclosure) + 大 (big) + 心 (heart)"
短,"short","矢 (arrow) + 豆 (bean)"
掌,"palm of hand","小 (small) + 冂 (down box) + 囗 (enclosure) + 手 (hand)"
恐,"fear","工 (work) + 几 (table) + 丶 (dot) + 心 (heart)"
遗,"lose","辶 (walk) + 口 (mouth) + 丨 (line) + 一 (one) + 贝 (shell)"
固,"to become solid","囗 (enclosure) + 十 (ten) + 口 (mouth)"
席,"seat","广 (dotted cliff) + 艹 (grass) + 巾 (turban)"
松,"pine tree","木 (tree) + 八 (eight) + 厶 (private)"
秘,"secret","禾 (grain) + 心 (heart) + 丿 (slash)"
谢,"thank","讠 (speech) + 身 (body) + 寸 (inch)"
鲁,"foolish","鱼 (fish) + 日 (sun)"
遇,"meet","辶 (walk) + 田 (field) + 禸 (track)"
康,"peaceful","广 (dotted cliff) + 隶 (slave)"
虑,"be concerned","虍 (tiger) + 心 (heart)"
幸,"luck(ily)","土 (earth)"
均,"equal","土 (earth) + 勹 (wrap) + 冫 (ice)"
销,"melt","钅 + 小 (small) + 月 (moon)"
钟,"clock","钅 + 口 (mouth) + 丨 (line)"
诗,"poetry","讠 (speech) + 土 (earth) + 寸 (inch)"
藏,"hide","艹 (grass) + 爿 (half tree trunk) + 戈 (halberd) + 臣 (minister)"
赶,"pursue","走 (run) + 干 (dry)"
剧,"theatrical plays","尸 (corpse) + 十 (ten) + 口 (mouth) + 刂 (knife)"
票,"slip of paper or bamboo","覀 (west) + 示 (showing)"
损,"diminish","扌 (hand) + 口 (mouth) + 贝 (shell)"
忽,"suddenly","勿 (must not) + 心 (heart)"
巨,"large","巨 (large)"
炮,"large gun","火 (fire) + 勹 (wrap) + 巳"
旧,"old","丨 (line) + 日 (sun)"
端,"end","立 (stand) + 山 (mountain) + 而 (and)"
探,"find","扌 (hand) + 木 (tree)"
湖,"a lake","氵 (water) + 十 (ten) + 口 (mouth) + 月 (moon)"
录,"copy","彐 (pigs head) + 氺"
叶,"to harmonize","口 (mouth) + 十 (ten)"
春,"spring","𡗗 + 日 (sun)"
乡,"country","乡 (country)"
附,"adhere to","阝 (mound) + 亻 (man) + 寸 (inch)"
吸,"inhale","口 (mouth) + 乃 (then)"
予,"I","龴 + 一 (one) + 亅 (hook)"
礼,"social custom","礻 (showing) + 乚 (second)"
港,"port","氵 (water) + 廿 + 廾 (two hands) + 巳"
雨,"rain","雨 (rain)"
呀,"particle used to express surprise or mild emphasis","口 (mouth) + 牙 (fang)"
板,"plank","木 (tree) + 又 (again)"
庭,"courtyard","广 (dotted cliff) + 廴 (long stride) + 丿 (slash) + 士 (scholar)"
妇,"married women","女 (woman) + 彐 (pigs head)"
归,"return","刂 (knife) + 彐 (pigs head)"
睛,"eyeball","目 (eye) + 冂 (down box) + 丄"
饭,"cooked rice","饣 (eat) + 又 (again)"
额,"forehead","宀 (roof) + 夂 (go) + 口 (mouth) + 页 (leaf)"
含,"hold in mouth","人 (man) + 一 (one) + 口 (mouth)"
顺,"obey","川 (river) + 页 (leaf)"
输,"transport","车 (cart) + 人 (man) + 一 (one) + 月 (moon) + 刂 (knife)"
摇,"wag","扌 (hand) + 爪 (claw) + 缶 (jar)"
招,"beckon","扌 (hand) + 刀 (knife) + 口 (mouth)"
婚,"get married","女 (woman) + 氏 (clan) + 日 (sun)"
脱,"take off","月 (moon) + 八 (eight) + 口 (mouth) + 儿 (legs)"
补,"mend","衤 (clothes) + 卜 (divination)"
谓,"say","讠 (speech) + 田 (field) + 月 (moon)"
督,"supervise","上 (top) + 小 (small) + 又 (again) + 目 (eye)"
毒,"poison","毋 (do not)"
油,"oil","氵 (water) + 曰 (say) + 丨 (line)"
疗,"be healed","疒 (sickness) + 了 (to finish)"
旅,"trip","方 (square) + 人 (man) + 氏 (clan)"
泽,"marsh","氵 (water) + 又 (again) + 丨 (line) + 二 (two)"
材,"material","木 (tree) + 才 (talent)"
灭,"extinguish","一 (one) + 火 (fire)"
逐,"chase","辶 (walk) + 豕 (pig)"
莫,"do not","艹 (grass) + 日 (sun) + 大 (big)"
笔,"writing brush","竹 (bamboo) + 毛 (fur)"
亡,"death","亠 (lid) + 乚 (second)"
鲜,"fresh","鱼 (fish) + 羊 (sheep)"
词,"words","讠 (speech) + 𠃌 + 一 (one) + 口 (mouth)"
圣,"holy","又 (again) + 土 (earth)"
择,"select","扌 (hand) + 又 (again) + 丨 (line) + 二 (two)"
寻,"seek","彐 (pigs head) + 寸 (inch)"
厂,"factory","厂 (cliff)"
睡,"sleep","目 (eye) + 垂 (let down)"
博,"gamble","十 (ten) + 甫 (begin) + 寸 (inch)"
勒,"strangle","革 (leather) + 力 (power)"
烟,"smoke","火 (fire) + 囗 (enclosure) + 大 (big)"
授,"give to","扌 (hand) + 爫 (claw) + 又 (again)"
诺,"promise","讠 (speech) + 艹 (grass) + 丿 (slash) + 一 (one) + 口 (mouth)"
伦,"normal human relationships","亻 (man) + 人 (man) + 匕 (spoon)"
岸,"bank","山 (mountain) + 厂 (cliff) + 干 (dry)"
奥,"mysterious","宀 (roof) + 米 (rice) + 大 (big)"
唐,"Tang dynasty","广 (dotted cliff) + 肀 + 口 (mouth)"
卖,"sell","十 (ten) + 乛 (second) + 大 (big) + 冫 (ice)"
俄,"sudden(ly)","亻 (man) + 丿 (slash) + 十 (ten) + 戈 (halberd)"
炸,"to fry in oil","火 (fire) + 乍 (first time)"
载,"load","戈 (halberd) + 十 (ten) + 车 (cart)"
洛,"river in Shanxi province","氵 (water) + 夂 (go) + 口 (mouth)"
健,"strong","亻 (man) + 廴 (long stride) + 聿 (brush)"
堂,"hall","小 (small) + 冂 (down box) + 囗 (enclosure) + 土 (earth)"
旁,"side","亠 (lid) + 八 (eight) + 方 (square)"
宫,"palace","宀 (roof) + 口 (mouth)"
喝,"drink","口 (mouth) + 曰 (say) + 勹 (wrap) + 𠃊 + 人 (man)"
借,"borrow","亻 (man) + 日 (sun)"
君,"sovereign","彐 (pigs head) + 丿 (slash) + 口 (mouth)"
禁,"restrict","木 (tree) + 示 (showing)"
阴,"female principle","阝 (mound) + 月 (moon)"
园,"garden","囗 (enclosure) + 一 (one) + 儿 (legs)"
谋,"plan","讠 (speech) + 甘 (sweet) + 木 (tree)"
宋,"Song dynasty","宀 (roof) + 木 (tree)"
避,"avoid","辶 (walk) + 辛 (bitter)"
抓,"scratch","扌 (hand) + 爪 (claw)"
荣,"glory","艹 (grass) + 木 (tree)"
姑,"fathers sister","女 (woman) + 十 (ten) + 口 (mouth)"
孙,"grandchild","子 (child) + 小 (small)"
逃,"escape","辶 (walk) + 兆 (omen)"
牙,"tooth","牙 (fang)"
束,"bind","木 (tree) + 口 (mouth)"
跳,"jump","足 (foot) + 兆 (omen)"
顶,"top","一 (one) + 亅 (hook) + 页 (leaf)"
玉,"jade","玉 (king)"
镇,"town","钅 + 十 (ten) + 貝 (shell) + 一 (one)"
雪,"snow","雨 (rain) + 彐 (pigs head)"
午,"noon","丿 (slash) + 一 (one) + 十 (ten)"
练,"to practice","纟 (silk) + 柬"
迫,"coerce","辶 (walk) + 白 (white)"
爷,"father","父 (father) + 卩 (seal)"
篇,"chapter","竹 (bamboo) + 一 (one) + 尸 (corpse)"
肉,"flesh","肉 (meat)"
嘴,"mouth","口 (mouth) + 止 (stop) + 匕 (spoon) + 角 (horn)"
馆,"public building","饣 (eat) + 宀 (roof) + 㠯"
遍,"everywhere","辶 (walk) + 一 (one) + 尸 (corpse)"
凡,"all","几 (table) + 丶 (dot)"
础,"foundation stone","石 (stone) + 屮 (sprout) + 凵 (open box)"
洞,"cave","氵 (water) + 冂 (down box) + 一 (one) + 口 (mouth)"
卷,"scroll","龹 + 卩 (seal)"
坦,"flat","土 (earth) + 日 (sun) + 一 (one)"
牛,"cow","牛 (cow)"
宁,"calm","宀 (roof) + 一 (one) + 亅 (hook)"
纸,"paper","纟 (silk) + 氏 (clan)"
诸,"various","讠 (speech) + 土 (earth) + 丿 (slash) + 日 (sun)"
训,"teach","讠 (speech) + 川 (river)"
私,"private","禾 (grain) + 厶 (private)"
庄,"village","广 (dotted cliff) + 土 (earth)"
祖,"ancestor","礻 (showing) + 且 (moreover)"
丝,"silk","丝 (silk)"
翻,"flip over","釆 (distinguish) + 田 (field) + 羽 (feather)"
暴,"violent","日 (sun) + 廿 + 廾 (two hands) + 氺"
森,"forest","木 (tree)"
塔,"tower","土 (earth) + 艹 (grass) + 人 (man) + 一 (one) + 口 (mouth)"
默,"silent","黑 (black) + 犬 (dog)"
握,"grasp","扌 (hand) + 尸 (corpse) + 至 (arrive)"
戏,"theatrical play","又 (again) + 戈 (halberd)"
隐,"hide","阝 (mound) + 彐 (pigs head) + 心 (heart)"
熟,"well-cooked","亠 (lid) + 口 (mouth) + 子 (child) + 九 (nine) + 丶 (dot) + 灬 (fire)"
骨,"bone","骨 (bone)"
访,"visit","讠 (speech) + 方 (square)"
弱,"weak","𢎥"
蒙,"cover","艹 (grass) + 冂 (down box) + 二 (two) + 𧰨"
歌,"song","可 (may) + 欠 (lack)"
店,"shop","广 (dotted cliff) + 卜 (divination) + 口 (mouth)"
鬼,"ghost","鬼 (ghost)"
软,"soft","车 (cart) + 欠 (lack)"
典,"law","典 (law)"
