Kanji,Meaning,Radicals
努,Toil,Woman + Stool + Power
神,God,Spirit + Humble
働,"Work, Labor",Leader + Heavy + Power
級,"Rank, Grade, Level",Thread + Escalator
仲,Relationship,Leader + Middle
老,Elderly,Coffin + Spoon
味,"Flavor, Taste",Mouth + Jet
命,Fate,Orders + Mouth
便,Convenience,Leader + Ground + Rice Paddy + Treasure
初,First,Spirit + Sword
拾,Pick Up,Fingers + Suit
岸,"Coast, Shore",Mountain + Cliff + Dry
功,"Achievement, Accomplishment",Construction + Power
良,Good,Drop + Root
好,Like,Woman + Child
指,Finger,Fingers + Spoon + Sun
放,Release,Direction + Winter
令,Orders,Orders
利,Profit. Benefit,Grain + Knife
成,Become,Drunkard + Sword
秒,Second,Grain + Few
追,"Follow, Chase",Treadmill + Bear
注,Pour,Tsunami + Master
争,Conflict,Prison + Wolverine + Barb
別,Separate,Mouth + Sword + Knife
洋,"Western Style, Ocean",Tsunami + Sheep
植,Plant,Tree + Fix
階,"Floor, Story",Building + Compare + White
短,Short,Arrow + Beans
島,Island,Bird + Mountain
泉,"Spring, Fountain",White + Water
温,Warm,Tsunami + Sun + Plate
深,Deep,Tsunami + Pi + Tree
員,Member,Mouth + Shellfish
第,Ordinal Number Prefix,Bamboo + Younger Brother
族,"Tribe, Family",Direction + Gun + Arrow
庭,Garden,Mullet + Yoga + King
動,Move,Heavy + Power
商,Merchandise,Stand + Legs + Mustache
根,Root,Tree + Root
悲,Sad,Criminal + Heart
暑,"Hot, Hot Weather",Sun + Someone
勉,Exertion,Excuse + Power
登,Climb,Tent + Beans
寒,Cold,Roof + Train + Ice
章,Chapter,Stand + Early
童,Juvenile,Stand + Village
悪,Bad,Tie Fighter + Heart
都,Metropolis,Someone + Building
流,Stream,Tsunami + Boob + River
消,Extinguish,Tsunami + Triceratops + Moon
歯,Tooth,Stop + Box + Rice
野,Field,Village + Beforehand
港,Harbor,Tsunami + Blackjack + Fins + Oneself
球,"Sphere, Ball",King + Lid + Water
祭,Festival,Tent + Jackhammer
着,Wear,Horns + King + Slide + Eye
息,Breath,Self + Heart
倍,"Double, Times, Multiply",Leader + Clown
湯,Hot Water,Tsunami + Easy
旅,"Trip, Travel",Direction + Gun + Tofu
陽,"Sunshine, Sunlight",Building + Easy
期,"Period Of Time, Time Period",Crab + Moon
駅,"Station, Train Station",Horse + Shrimp
問,Problem,Gate + Mouth
様,Formal Name Title,Tree + Sheep + Water
士,Samurai,Samurai
疑,Doubt,Spoon + Arrow + Mama + Coat Rack
想,Concept,Tree + Eye + Heart
熱,Heat,Womb + Circle + Boil
感,Feeling,Drunkard + Creeper + Heart
情,"Feeling, Emotion",Soul + Blue
整,"Arrange, Organize",Bundle + Winter + Correct
億,Hundred Million,Leader + Idea
養,Foster,Sheep + Fins + Good
標,Signpost,Tree + Helicopter + Jackhammer
練,Practice,Thread + East
福,Luck,Spirit + Scarecrow
暗,Dark,Sun + Stand + Sun
謝,Apologize,Say + Body + Measurement
橋,Bridge,Tree + Heaven + Mouth + Mustache
輪,"Wheel, Ring, Loop",Car + Roof + Bookshelf
詩,Poem,Say + Temple
器,"Container, Vessel",Products + Big
皆,"All, Everyone, Everything",Compare + White
映,Reflect,Sun + Center
銀,Silver,Gold + Root
像,"Statue, Image",Leader + elephant
願,Request,original + Geoduck
宿,Lodge,Roof + Leader + Hundred
賞,Prize,Viking + Mouth + Shellfish
館,Public Building,Eat + Roof + Bear
題,Topic,Sun + Coat Rack + Geoduck
料,"Fee, Material",Rice + ladle
殺,Kill,Treasure + Tree + Weapon
選,Choose,Treadmill + Oneself + Blackjack + Fins
課,Section,Say + Fruit
然,Nature,Moon + Dog + Boil
鏡,Mirror,Gold + Stand + See
緑,Green,Thread + Wolverine + Water
念,Thought,Now + Heart
技,Skill,Fingers + Branch
完,Perfect,Roof + Origin
的,"Target, ~al, ~like",White + Pool
囲,Surround,Mouth + Well
私,"I, Private",Grain + Private
芸,"Acting, Art",Flowers + Cloud
残,Remainder,Yakuza + Bar
卒,Graduate,Lid + Person + Cross
基,Foundation,Crab + Dirt
性,"Gender, Nature",Soul + Life
術,Art,Go + Angel + Drop
妥,Gentle,Cleat + Woman
参,Participate,Private + Big + Hair
望,Hope,Death + Moon + King
材,Lumber,Tree
束,Bundle,Bundle
雰,Atmosphere,Rain + Part
例,Example,Leader + Yakuza + Knife
希,Wish,Treasure + Narwhal + Towel
格,Status,Tree + Kiss
協,Cooperation,Cross + Power
季,Seasons,Grain + Child
固,Hard,Mouth + Old
求,Request,Ground + Drop + Water
周,Circumference,Circumference
約,Promise,Thread + Pool
能,Ability,Private + Moon + Spoon
骨,Bone,Mustache + Forehead + Moon
頑,Stubborn,Origin + Geoduck
折,Fold. Bend,Fingers + Axe
松,Pine,Tree + Public
坂,Slope,Dirt + Anti
式,Ritual,Ceremony + Construction
法,"Method, Law",Tsunami + past
毒,Poison,Life + Window
晩,Night,Sun + Excuse
区,"District, Ward",Cage + Treasure
昼,Noon,Shrimp + Sun + Ground
帰,"Return, Return Home",Knife + Wolverine + Forehead + Towel
岩,Boulder,Mountain + Stone
秋,"Autumn, Full",Grain + Fire
計,Measure,Say + Cross
単,Simple,Simple
司,Director,Creeper + Cape
昨,"Previous, Yesterday",Sun + Key
築,"Construct, Build",Bamboo + Saw + Tree
夫,Husband,Husband
春,Spring,Train + Sun
建,Build,Yoga + Brush
浅,Shallow,Tsunami + Bar
勇,"Courage, Bravery, Valor",Mama + Man
紀,"Account, Narrative",Thread + Oneself
列,Row,Yakuza + Knife
飯,"Meal, Food",Eat + Anti
寺,Temple,Temple
丈,Height,Height
晴,Clear Up,Sun + Blue
軍,Army,Forehead + Car
猫,Cat,Animal + Flowers + Rice Paddy
泣,Cry,Tsunami + Stand
英,England,Flowers + Center
変,"Change, Strange",Red + Winter
信,"Believe, Trust",Leader + Say
仏,Buddha,Leader + Private
存,Suppose,Narwhal + Stick + Child
辞,Quit,Tongue + Spicy
喜,"Rejoice, Delighted, Pleased, Happy",Drum + Mouth
険,"Risky, Steep",Building + Squid
